,carpark_number,lot_type,2022_7_1_0_20_0,2022_7_1_1_20_0,2022_7_1_2_20_0,2022_7_1_3_20_0,2022_7_1_4_20_0,2022_7_1_5_20_0,2022_7_1_6_20_0,2022_7_1_7_20_0,2022_7_1_8_20_0,2022_7_1_9_20_0,2022_7_1_10_20_0,2022_7_1_11_20_0,2022_7_1_12_20_0,2022_7_1_13_20_0,2022_7_1_14_20_0,2022_7_1_15_20_0,2022_7_1_16_20_0,2022_7_1_17_20_0,2022_7_1_18_20_0,2022_7_1_19_20_0,2022_7_1_20_20_0,2022_7_1_21_20_0,2022_7_1_22_20_0,2022_7_1_23_20_0,2022_7_2_0_20_0,2022_7_2_1_20_0,2022_7_2_2_20_0,2022_7_2_3_20_0,2022_7_2_4_20_0,2022_7_2_5_20_0,2022_7_2_6_20_0,2022_7_2_7_20_0,2022_7_2_8_20_0,2022_7_2_9_20_0,2022_7_2_10_20_0,2022_7_2_11_20_0,2022_7_2_12_20_0,2022_7_2_13_20_0,2022_7_2_14_20_0,2022_7_2_15_20_0,2022_7_2_16_20_0,2022_7_2_17_20_0,2022_7_2_18_20_0,2022_7_2_19_20_0,2022_7_2_20_20_0,2022_7_2_21_20_0,2022_7_2_22_20_0,2022_7_2_23_20_0,2022_7_3_0_20_0,2022_7_3_1_20_0,2022_7_3_2_20_0,2022_7_3_3_20_0,2022_7_3_4_20_0,2022_7_3_5_20_0,2022_7_3_6_20_0,2022_7_3_7_20_0,2022_7_3_8_20_0,2022_7_3_9_20_0,2022_7_3_10_20_0,2022_7_3_11_20_0,2022_7_3_12_20_0,2022_7_3_13_20_0,2022_7_3_14_20_0,2022_7_3_15_20_0,2022_7_3_16_20_0,2022_7_3_17_20_0,2022_7_3_18_20_0,2022_7_3_19_20_0,2022_7_3_20_20_0,2022_7_3_21_20_0,2022_7_3_22_20_0,2022_7_3_23_20_0,2022_7_4_0_20_0,2022_7_4_1_20_0,2022_7_4_2_20_0,2022_7_4_3_20_0,2022_7_4_4_20_0,2022_7_4_5_20_0,2022_7_4_6_20_0,2022_7_4_7_20_0,2022_7_4_8_20_0,2022_7_4_9_20_0,2022_7_4_10_20_0,2022_7_4_11_20_0,2022_7_4_12_20_0,2022_7_4_13_20_0,2022_7_4_14_20_0,2022_7_4_15_20_0,2022_7_4_16_20_0,2022_7_4_17_20_0,2022_7_4_18_20_0,2022_7_4_19_20_0,2022_7_4_20_20_0,2022_7_4_21_20_0,2022_7_4_22_20_0,2022_7_4_23_20_0,2022_7_5_0_20_0,2022_7_5_1_20_0,2022_7_5_2_20_0,2022_7_5_3_20_0,2022_7_5_4_20_0,2022_7_5_5_20_0,2022_7_5_6_20_0,2022_7_5_7_20_0,2022_7_5_8_20_0,2022_7_5_9_20_0,2022_7_5_10_20_0,2022_7_5_11_20_0,2022_7_5_12_20_0,2022_7_5_13_20_0,2022_7_5_14_20_0,2022_7_5_15_20_0,2022_7_5_16_20_0,2022_7_5_17_20_0,2022_7_5_18_20_0,2022_7_5_19_20_0,2022_7_5_20_20_0,2022_7_5_21_20_0,2022_7_5_22_20_0,2022_7_5_23_20_0,2022_7_6_0_20_0,2022_7_6_1_20_0,2022_7_6_2_20_0,2022_7_6_3_20_0,2022_7_6_4_20_0,2022_7_6_5_20_0,2022_7_6_6_20_0,2022_7_6_7_20_0,2022_7_6_8_20_0,2022_7_6_9_20_0,2022_7_6_10_20_0,2022_7_6_11_20_0,2022_7_6_12_20_0,2022_7_6_13_20_0,2022_7_6_14_20_0,2022_7_6_15_20_0,2022_7_6_16_20_0,2022_7_6_17_20_0,2022_7_6_18_20_0,2022_7_6_19_20_0,2022_7_6_20_20_0,2022_7_6_21_20_0,2022_7_6_22_20_0,2022_7_6_23_20_0,2022_7_7_0_20_0,2022_7_7_1_20_0,2022_7_7_2_20_0,2022_7_7_3_20_0,2022_7_7_4_20_0,2022_7_7_5_20_0,2022_7_7_6_20_0,2022_7_7_7_20_0,2022_7_7_8_20_0,2022_7_7_9_20_0,2022_7_7_10_20_0,2022_7_7_11_20_0,2022_7_7_12_20_0,2022_7_7_13_20_0,2022_7_7_14_20_0,2022_7_7_15_20_0,2022_7_7_16_20_0,2022_7_7_17_20_0,2022_7_7_18_20_0,2022_7_7_19_20_0,2022_7_7_20_20_0,2022_7_7_21_20_0,2022_7_7_22_20_0,2022_7_7_23_20_0,2022_7_8_0_20_0,2022_7_8_1_20_0,2022_7_8_2_20_0,2022_7_8_3_20_0,2022_7_8_4_20_0,2022_7_8_5_20_0,2022_7_8_6_20_0,2022_7_8_7_20_0,2022_7_8_8_20_0,2022_7_8_9_20_0,2022_7_8_10_20_0,2022_7_8_11_20_0,2022_7_8_12_20_0,2022_7_8_13_20_0,2022_7_8_14_20_0,2022_7_8_15_20_0,2022_7_8_16_20_0,2022_7_8_17_20_0,2022_7_8_18_20_0,2022_7_8_19_20_0,2022_7_8_20_20_0,2022_7_8_21_20_0,2022_7_8_22_20_0,2022_7_8_23_20_0,2022_7_9_0_20_0,2022_7_9_1_20_0,2022_7_9_2_20_0,2022_7_9_3_20_0,2022_7_9_4_20_0,2022_7_9_5_20_0,2022_7_9_6_20_0,2022_7_9_7_20_0,2022_7_9_8_20_0,2022_7_9_9_20_0,2022_7_9_10_20_0,2022_7_9_11_20_0,2022_7_9_12_20_0,2022_7_9_13_20_0,2022_7_9_14_20_0,2022_7_9_15_20_0,2022_7_9_16_20_0,2022_7_9_17_20_0,2022_7_9_18_20_0,2022_7_9_19_20_0,2022_7_9_20_20_0,2022_7_9_21_20_0,2022_7_9_22_20_0,2022_7_9_23_20_0,2022_7_10_0_20_0,2022_7_10_1_20_0,2022_7_10_2_20_0,2022_7_10_3_20_0,2022_7_10_4_20_0,2022_7_10_5_20_0,2022_7_10_6_20_0,2022_7_10_7_20_0,2022_7_10_8_20_0,2022_7_10_9_20_0,2022_7_10_10_20_0,2022_7_10_11_20_0,2022_7_10_12_20_0,2022_7_10_13_20_0,2022_7_10_14_20_0,2022_7_10_15_20_0,2022_7_10_16_20_0,2022_7_10_17_20_0,2022_7_10_18_20_0,2022_7_10_19_20_0,2022_7_10_20_20_0,2022_7_10_21_20_0,2022_7_10_22_20_0,2022_7_10_23_20_0,2022_7_11_0_20_0,2022_7_11_1_20_0,2022_7_11_2_20_0,2022_7_11_3_20_0,2022_7_11_4_20_0,2022_7_11_5_20_0,2022_7_11_6_20_0,2022_7_11_7_20_0,2022_7_11_8_20_0,2022_7_11_9_20_0,2022_7_11_10_20_0,2022_7_11_11_20_0,2022_7_11_12_20_0,2022_7_11_13_20_0,2022_7_11_14_20_0,2022_7_11_15_20_0,2022_7_11_16_20_0,2022_7_11_17_20_0,2022_7_11_18_20_0,2022_7_11_19_20_0,2022_7_11_20_20_0,2022_7_11_21_20_0,2022_7_11_22_20_0,2022_7_11_23_20_0,2022_7_12_0_20_0,2022_7_12_1_20_0,2022_7_12_2_20_0,2022_7_12_3_20_0,2022_7_12_4_20_0,2022_7_12_5_20_0,2022_7_12_6_20_0,2022_7_12_7_20_0,2022_7_12_8_20_0,2022_7_12_9_20_0,2022_7_12_10_20_0,2022_7_12_11_20_0,2022_7_12_12_20_0,2022_7_12_13_20_0,2022_7_12_14_20_0,2022_7_12_15_20_0,2022_7_12_16_20_0,2022_7_12_17_20_0,2022_7_12_18_20_0,2022_7_12_19_20_0,2022_7_12_20_20_0,2022_7_12_21_20_0,2022_7_12_22_20_0,2022_7_12_23_20_0,2022_7_13_0_20_0,2022_7_13_1_20_0,2022_7_13_2_20_0,2022_7_13_3_20_0,2022_7_13_4_20_0,2022_7_13_5_20_0,2022_7_13_6_20_0,2022_7_13_7_20_0,2022_7_13_8_20_0,2022_7_13_9_20_0,2022_7_13_10_20_0,2022_7_13_11_20_0,2022_7_13_12_20_0,2022_7_13_13_20_0,2022_7_13_14_20_0,2022_7_13_15_20_0,2022_7_13_16_20_0,2022_7_13_17_20_0,2022_7_13_18_20_0,2022_7_13_19_20_0,2022_7_13_20_20_0,2022_7_13_21_20_0,2022_7_13_22_20_0,2022_7_13_23_20_0,2022_7_14_0_20_0,2022_7_14_1_20_0,2022_7_14_2_20_0,2022_7_14_3_20_0,2022_7_14_4_20_0,2022_7_14_5_20_0,2022_7_14_6_20_0,2022_7_14_7_20_0,2022_7_14_8_20_0,2022_7_14_9_20_0,2022_7_14_10_20_0,2022_7_14_11_20_0,2022_7_14_12_20_0,2022_7_14_13_20_0,2022_7_14_14_20_0,2022_7_14_15_20_0,2022_7_14_16_20_0,2022_7_14_17_20_0,2022_7_14_18_20_0,2022_7_14_19_20_0,2022_7_14_20_20_0,2022_7_14_21_20_0,2022_7_14_22_20_0,2022_7_14_23_20_0,2022_7_15_0_20_0,2022_7_15_1_20_0,2022_7_15_2_20_0,2022_7_15_3_20_0,2022_7_15_4_20_0,2022_7_15_5_20_0,2022_7_15_6_20_0,2022_7_15_7_20_0,2022_7_15_8_20_0,2022_7_15_9_20_0,2022_7_15_10_20_0,2022_7_15_11_20_0,2022_7_15_12_20_0,2022_7_15_13_20_0,2022_7_15_14_20_0,2022_7_15_15_20_0,2022_7_15_16_20_0,2022_7_15_17_20_0,2022_7_15_18_20_0,2022_7_15_19_20_0,2022_7_15_20_20_0,2022_7_15_21_20_0,2022_7_15_22_20_0,2022_7_15_23_20_0,2022_7_16_0_20_0,2022_7_16_1_20_0,2022_7_16_2_20_0,2022_7_16_3_20_0,2022_7_16_4_20_0,2022_7_16_5_20_0,2022_7_16_6_20_0,2022_7_16_7_20_0,2022_7_16_8_20_0,2022_7_16_9_20_0,2022_7_16_10_20_0,2022_7_16_11_20_0,2022_7_16_12_20_0,2022_7_16_13_20_0,2022_7_16_14_20_0,2022_7_16_15_20_0,2022_7_16_16_20_0,2022_7_16_17_20_0,2022_7_16_18_20_0,2022_7_16_19_20_0,2022_7_16_20_20_0,2022_7_16_21_20_0,2022_7_16_22_20_0,2022_7_16_23_20_0,2022_7_17_0_20_0,2022_7_17_1_20_0,2022_7_17_2_20_0,2022_7_17_3_20_0,2022_7_17_4_20_0,2022_7_17_5_20_0,2022_7_17_6_20_0,2022_7_17_7_20_0,2022_7_17_8_20_0,2022_7_17_9_20_0,2022_7_17_10_20_0,2022_7_17_11_20_0,2022_7_17_12_20_0,2022_7_17_13_20_0,2022_7_17_14_20_0,2022_7_17_15_20_0,2022_7_17_16_20_0,2022_7_17_17_20_0,2022_7_17_18_20_0,2022_7_17_19_20_0,2022_7_17_20_20_0,2022_7_17_21_20_0,2022_7_17_22_20_0,2022_7_17_23_20_0,2022_7_18_0_20_0,2022_7_18_1_20_0,2022_7_18_2_20_0,2022_7_18_3_20_0,2022_7_18_4_20_0,2022_7_18_5_20_0,2022_7_18_6_20_0,2022_7_18_7_20_0,2022_7_18_8_20_0,2022_7_18_9_20_0,2022_7_18_10_20_0,2022_7_18_11_20_0,2022_7_18_12_20_0,2022_7_18_13_20_0,2022_7_18_14_20_0,2022_7_18_15_20_0,2022_7_18_16_20_0,2022_7_18_17_20_0,2022_7_18_18_20_0,2022_7_18_19_20_0,2022_7_18_20_20_0,2022_7_18_21_20_0,2022_7_18_22_20_0,2022_7_18_23_20_0,2022_7_19_0_20_0,2022_7_19_1_20_0,2022_7_19_2_20_0,2022_7_19_3_20_0,2022_7_19_4_20_0,2022_7_19_5_20_0,2022_7_19_6_20_0,2022_7_19_7_20_0,2022_7_19_8_20_0,2022_7_19_9_20_0,2022_7_19_10_20_0,2022_7_19_11_20_0,2022_7_19_12_20_0,2022_7_19_13_20_0,2022_7_19_14_20_0,2022_7_19_15_20_0,2022_7_19_16_20_0,2022_7_19_17_20_0,2022_7_19_18_20_0,2022_7_19_19_20_0,2022_7_19_20_20_0,2022_7_19_21_20_0,2022_7_19_22_20_0,2022_7_19_23_20_0,2022_7_20_0_20_0,2022_7_20_1_20_0,2022_7_20_2_20_0,2022_7_20_3_20_0,2022_7_20_4_20_0,2022_7_20_5_20_0,2022_7_20_6_20_0,2022_7_20_7_20_0,2022_7_20_8_20_0,2022_7_20_9_20_0,2022_7_20_10_20_0,2022_7_20_11_20_0,2022_7_20_12_20_0,2022_7_20_13_20_0,2022_7_20_14_20_0,2022_7_20_15_20_0,2022_7_20_16_20_0,2022_7_20_17_20_0,2022_7_20_18_20_0,2022_7_20_19_20_0,2022_7_20_20_20_0,2022_7_20_21_20_0,2022_7_20_22_20_0,2022_7_20_23_20_0,2022_7_21_0_20_0,2022_7_21_1_20_0,2022_7_21_2_20_0,2022_7_21_3_20_0,2022_7_21_4_20_0,2022_7_21_5_20_0,2022_7_21_6_20_0,2022_7_21_7_20_0,2022_7_21_8_20_0,2022_7_21_9_20_0,2022_7_21_10_20_0,2022_7_21_11_20_0,2022_7_21_12_20_0,2022_7_21_13_20_0,2022_7_21_14_20_0,2022_7_21_15_20_0,2022_7_21_16_20_0,2022_7_21_17_20_0,2022_7_21_18_20_0,2022_7_21_19_20_0,2022_7_21_20_20_0,2022_7_21_21_20_0,2022_7_21_22_20_0,2022_7_21_23_20_0,2022_7_22_0_20_0,2022_7_22_1_20_0,2022_7_22_2_20_0,2022_7_22_3_20_0,2022_7_22_4_20_0,2022_7_22_5_20_0,2022_7_22_6_20_0,2022_7_22_7_20_0,2022_7_22_8_20_0,2022_7_22_9_20_0,2022_7_22_10_20_0,2022_7_22_11_20_0,2022_7_22_12_20_0,2022_7_22_13_20_0,2022_7_22_14_20_0,2022_7_22_15_20_0,2022_7_22_16_20_0,2022_7_22_17_20_0,2022_7_22_18_20_0,2022_7_22_19_20_0,2022_7_22_20_20_0,2022_7_22_21_20_0,2022_7_22_22_20_0,2022_7_22_23_20_0,2022_7_23_0_20_0,2022_7_23_1_20_0,2022_7_23_2_20_0,2022_7_23_3_20_0,2022_7_23_4_20_0,2022_7_23_5_20_0,2022_7_23_6_20_0,2022_7_23_7_20_0,2022_7_23_8_20_0,2022_7_23_9_20_0,2022_7_23_10_20_0,2022_7_23_11_20_0,2022_7_23_12_20_0,2022_7_23_13_20_0,2022_7_23_14_20_0,2022_7_23_15_20_0,2022_7_23_16_20_0,2022_7_23_17_20_0,2022_7_23_18_20_0,2022_7_23_19_20_0,2022_7_23_20_20_0,2022_7_23_21_20_0,2022_7_23_22_20_0,2022_7_23_23_20_0,2022_7_24_0_20_0,2022_7_24_1_20_0,2022_7_24_2_20_0,2022_7_24_3_20_0,2022_7_24_4_20_0,2022_7_24_5_20_0,2022_7_24_6_20_0,2022_7_24_7_20_0,2022_7_24_8_20_0,2022_7_24_9_20_0,2022_7_24_10_20_0,2022_7_24_11_20_0,2022_7_24_12_20_0,2022_7_24_13_20_0,2022_7_24_14_20_0,2022_7_24_15_20_0,2022_7_24_16_20_0,2022_7_24_17_20_0,2022_7_24_18_20_0,2022_7_24_19_20_0,2022_7_24_20_20_0,2022_7_24_21_20_0,2022_7_24_22_20_0,2022_7_24_23_20_0,2022_7_25_0_20_0,2022_7_25_1_20_0,2022_7_25_2_20_0,2022_7_25_3_20_0,2022_7_25_4_20_0,2022_7_25_5_20_0,2022_7_25_6_20_0,2022_7_25_7_20_0,2022_7_25_8_20_0,2022_7_25_9_20_0,2022_7_25_10_20_0,2022_7_25_11_20_0,2022_7_25_12_20_0,2022_7_25_13_20_0,2022_7_25_14_20_0,2022_7_25_15_20_0,2022_7_25_16_20_0,2022_7_25_17_20_0,2022_7_25_18_20_0,2022_7_25_19_20_0,2022_7_25_20_20_0,2022_7_25_21_20_0,2022_7_25_22_20_0,2022_7_25_23_20_0,2022_7_26_0_20_0,2022_7_26_1_20_0,2022_7_26_2_20_0,2022_7_26_3_20_0,2022_7_26_4_20_0,2022_7_26_5_20_0,2022_7_26_6_20_0,2022_7_26_7_20_0,2022_7_26_8_20_0,2022_7_26_9_20_0,2022_7_26_10_20_0,2022_7_26_11_20_0,2022_7_26_12_20_0,2022_7_26_13_20_0,2022_7_26_14_20_0,2022_7_26_15_20_0,2022_7_26_16_20_0,2022_7_26_17_20_0,2022_7_26_18_20_0,2022_7_26_19_20_0,2022_7_26_20_20_0,2022_7_26_21_20_0,2022_7_26_22_20_0,2022_7_26_23_20_0,2022_7_27_0_20_0,2022_7_27_1_20_0,2022_7_27_2_20_0,2022_7_27_3_20_0,2022_7_27_4_20_0,2022_7_27_5_20_0,2022_7_27_6_20_0,2022_7_27_7_20_0,2022_7_27_8_20_0,2022_7_27_9_20_0,2022_7_27_10_20_0,2022_7_27_11_20_0,2022_7_27_12_20_0,2022_7_27_13_20_0,2022_7_27_14_20_0,2022_7_27_15_20_0,2022_7_27_16_20_0,2022_7_27_17_20_0,2022_7_27_18_20_0,2022_7_27_19_20_0,2022_7_27_20_20_0,2022_7_27_21_20_0,2022_7_27_22_20_0,2022_7_27_23_20_0,2022_7_28_0_20_0,2022_7_28_1_20_0,2022_7_28_2_20_0,2022_7_28_3_20_0,2022_7_28_4_20_0,2022_7_28_5_20_0,2022_7_28_6_20_0,2022_7_28_7_20_0,2022_7_28_8_20_0,2022_7_28_9_20_0,2022_7_28_10_20_0,2022_7_28_11_20_0,2022_7_28_12_20_0,2022_7_28_13_20_0,2022_7_28_14_20_0,2022_7_28_15_20_0,2022_7_28_16_20_0,2022_7_28_17_20_0,2022_7_28_18_20_0,2022_7_28_19_20_0,2022_7_28_20_20_0,2022_7_28_21_20_0,2022_7_28_22_20_0,2022_7_28_23_20_0,2022_7_29_0_20_0,2022_7_29_1_20_0,2022_7_29_2_20_0,2022_7_29_3_20_0,2022_7_29_4_20_0,2022_7_29_5_20_0,2022_7_29_6_20_0,2022_7_29_7_20_0,2022_7_29_8_20_0,2022_7_29_9_20_0,2022_7_29_10_20_0,2022_7_29_11_20_0,2022_7_29_12_20_0,2022_7_29_13_20_0,2022_7_29_14_20_0,2022_7_29_15_20_0,2022_7_29_16_20_0,2022_7_29_17_20_0,2022_7_29_18_20_0,2022_7_29_19_20_0,2022_7_29_20_20_0,2022_7_29_21_20_0,2022_7_29_22_20_0,2022_7_29_23_20_0,2022_7_30_0_20_0,2022_7_30_1_20_0,2022_7_30_2_20_0,2022_7_30_3_20_0,2022_7_30_4_20_0,2022_7_30_5_20_0,2022_7_30_6_20_0,2022_7_30_7_20_0,2022_7_30_8_20_0,2022_7_30_9_20_0,2022_7_30_10_20_0,2022_7_30_11_20_0,2022_7_30_12_20_0,2022_7_30_13_20_0,2022_7_30_14_20_0,2022_7_30_15_20_0,2022_7_30_16_20_0,2022_7_30_17_20_0,2022_7_30_18_20_0,2022_7_30_19_20_0,2022_7_30_20_20_0,2022_7_30_21_20_0,2022_7_30_22_20_0,2022_7_30_23_20_0,2022_7_31_0_20_0,2022_7_31_1_20_0,2022_7_31_2_20_0,2022_7_31_3_20_0,2022_7_31_4_20_0,2022_7_31_5_20_0,2022_7_31_6_20_0,2022_7_31_7_20_0,2022_7_31_8_20_0,2022_7_31_9_20_0,2022_7_31_10_20_0,2022_7_31_11_20_0,2022_7_31_12_20_0,2022_7_31_13_20_0,2022_7_31_14_20_0,2022_7_31_15_20_0,2022_7_31_16_20_0,2022_7_31_17_20_0,2022_7_31_18_20_0,2022_7_31_19_20_0,2022_7_31_20_20_0,2022_7_31_21_20_0,2022_7_31_22_20_0,2022_7_31_23_20_0
70,ACM,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,ACM,Y,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,65,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,65,,65,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,65,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,65,65,,,,,,,65,,,,,,,,65,,,,,,65,,,,,,,,,,,,,,,,,,,,,,
94,AR5M,Y,,,,,,,,,,,,117,,,,,,,,,,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,,,,,,,,,,117,,,,,,,,,,,,,,,,,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,,,,,,,,,,,,,,,,,,,117,,,,,,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,,,,,,,,,,,,,,,,,,,,,,,,117,,,,,,,,,,,,,,,,,,,,,117,,,,,,,,,,,,,,,,,,,,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,,,,,,,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,,,,,,,,,,,,,,,,,,,,,,111,,,111,,,,,,,111,,,,,,,,,,111,,,,,,,,,,,,111,,,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,,,,,,,,,,,,,,,,,,,,,,,,,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,,,,,,,,,,,,,,,,,,111,,,,,,,,,,,,,,,111,,,,,,111,,,,,,111,,111,,,,,
98,AR9,Y,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,11,,,11,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,BM14,Y,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,9,,,9,,,,9,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,9,,,,,,,9,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,9,,,,,,,,,,,,,,,,,,,,,,
